FurnaceHRV,12,1336295772,433698,474092
CellarOutlets,13,1336295772,121037,129398
WashingMachine,14,1336295772,1175,2058
FridgeRange,15,1336295772,7056,11.19
DisposalDishwasher,16,1336295772,5717,32716
Microwave,17,1336295772,3294,4078
KitchenLights,18,1336295772,2605,8285
BedroomOutlets,19,1336295772,19207,21038
BedroomLights,20,1336295772,4846,11753
MasterOutlets,21,1336295772,66013,90814
MasterLights,22,1336295772,11.57,47049
DuctHeaterHRV,23,1336295772,657602,817941
MasterLights,22,1336295773,10.27,46778
DuctHeaterHRV,23,1336295773,350723,600244
MasterLights,22,1336295774,11.51,47029
DuctHeaterHRV,23,1336295774,644176,811475
DuctHeaterHRV,23,1336295775,695859,844928
MasterOutlets,21,1336295776,67102,93062
DuctHeaterHRV,23,1336295776,611531,790755
MasterOutlets,21,1336295777,65659,90529
DuctHeaterHRV,23,1336295777,762021,883762
DuctHeaterHRV,23,1336295778,737654,867858
FurnaceHRV,12,1336295779,432649,472686
DuctHeaterHRV,23,1336295779,919431,968769
FurnaceHRV,12,1336295780,433906,474518
MasterLights,22,1336295780,11328,47013
DuctHeaterHRV,23,1336295780,611285,789507
MasterLights,22,1336295781,12866,47414
DuctHeaterHRV,23,1336295781,967376,992685
FurnaceHRV,12,1336295782,434236,474921
MasterLights,22,1336295782,11318,47054
DuctHeaterHRV,23,1336295782,604029,784783
FurnaceHRV,12,1336295783,432488,472126
MasterLights,22,1336295783,13008,47373
DuctHeaterHRV,23,1336295783,1006484,1011488
FurnaceHRV,12,1336295784,434756,475864
KitchenLights,18,1336295784,3208,8.83
MasterOutlets,21,1336295784,67172,92881
MasterLights,22,1336295784,10618,46929
DuctHeaterHRV,23,1336295784,385825,626907
FurnaceHRV,12,1336295785,432558,472166
FridgeRange,15,1336295785,7.71,11745
MasterOutlets,21,1336295785,65494,90627
MasterLights,22,1336295785,12975,47348
DuctHeaterHRV,23,1336295785,999374,1008435
Grid,1,1336295781,1732011,1814751
Dryer,2,1336295781,1953,3006
OfficeOutlets,3,1336295781,10846,16426
LivingRoomOutlets,4,1336295781,69973,91.43
GuestBathOutlets,5,1336295781,0.68,1637
MasterBathOutlets,6,1336295781,1864,3558
LivingRoomPatioLights,7,1336295781,4709,9938
FurnaceHRV,12,1336295786,434029,474678
MasterLights,22,1336295786,11455,47031
DuctHeaterHRV,23,1336295786,629684,801414
FurnaceHRV,12,1336295787,432956,472543
MasterLights,22,1336295787,13192,47515
DuctHeaterHRV,23,1336295787,1006345,1011.36
GuestBathHallLights,8,1336295781,5619,14784
DiningRoomOutlets,9,1336295781,11513,22866
OutsideOutlets,10,1336295781,642,1395
CellarLights,11,1336295781,-102,4026
Grid,1,1336295782,1400584,1557951
Grid,1,1336295783,1798707,1861535
MasterLights,22,1336295788,12157,47264
DuctHeaterHRV,23,1336295788,770.88,885592
Grid,1,1336295784,1212906,1390453
Grid,1,1336295785,1765118,1838324
